Te[K],Arr[m3/s],CSC_Maxwellian[m3/s]
4.6200000000000000e+03,2.1262785563140188e-27,4.6082033724134767e-32
4.6300000000000000e+03,2.2791019939873824e-27,5.0266692191573238e-32
4.6400000000000000e+03,2.4421958455033864e-27,5.4811009384033218e-32
4.6500000000000000e+03,2.6162012713445498e-27,5.9744116499678333e-32
4.6600000000000000e+03,2.8017963094400612e-27,6.5097358243717146e-32
4.6700000000000000e+03,2.9996978087446914e-27,7.0904449907490521e-32
4.6800000000000000e+03,3.2106634539262497e-27,7.7201644821982342e-32
4.6900000000000000e+03,3.4354938849416567e-27,8.4027912823132581e-32
4.7000000000000000e+03,3.6750349154151191e-27,9.1425130403002756e-32
4.7100000000000000e+03,3.9301798538698498e-27,9.9438281700882560e-32
4.7200000000000000e+03,4.2018719320061203e-27,1.0811566053206965e-31
4.7300000000000000e+03,4.4911068443637053e-27,1.1750910131831523e-31
4.7400000000000000e+03,4.7989354038566139e-27,1.2767422763503667e-31
4.7500000000000000e+03,5.1264663178212627e-27,1.3867071044106336e-31
4.7600000000000000e+03,5.4748690893774756e-27,1.5056254258232445e-31
4.7700000000000000e+03,5.8453770490634534e-27,1.6341833057822811e-31
4.7800000000000000e+03,6.2392905218724431e-27,1.7731160469968737e-31
4.7900000000000000e+03,6.6579801349900624e-27,1.9232114840275788e-31
4.8000000000000000e+03,7.1028902717062635e-27,2.0853134823956116e-31
4.8100000000000000e+03,7.5755426771562184e-27,2.2603256542912977e-31
4.8200000000000000e+03,8.0775402217294482e-27,2.4492153029807775e-31
4.8300000000000000e+03,8.6105708281751509e-27,2.6530174740482584e-31
4.8400000000000000e+03,9.1764115686277615e-27,2.8728391273482343e-31
